Size, Colors, ID, Nodes Explored, Runtime, Solution
5, 4, 0, 11, 37, [3 2 0 1 3 2]
5, 4, 1, 11, 5, [3 2 0 3 1]
5, 4, 2, 43, 51, [3 2 0 3 1 2 0 3]
5, 4, 3, 10, 2, [0 3 1 2 0]
5, 4, 4, 15, 2, [2 0 2 3 1 2]
5, 5, 0, 18, 3, [1 3 0 2 4]
5, 5, 1, 78, 11, [4 1 3 2 1 0 4 2]
5, 5, 2, 25, 4, [4 3 1 4 2 3 0]
5, 5, 3, 25, 3, [2 0 3 1 4 0 2]
5, 5, 4, 17, 2, [0 2 3 1 3 0 4]
5, 6, 0, 189, 23, [1 3 1 4 5 2 0 1 3]
5, 6, 1, 43, 4, [5 3 2 5 0 4 3 1]
5, 6, 2, 71, 7, [2 1 0 4 0 4 2 3 5 1]
5, 6, 3, 95, 4, [3 2 4 0 5 3 1 2]
5, 6, 4, 77, 4, [0 1 4 5 2 0 3 1 4]
5, 7, 0, 177, 22, [0 2 6 3 4 1 5 2 0]
